<< TABLE >>

+-------------------------+------------------------------+-----------------------------+------------------------------+----------------------+------------------------------+------------------------------------+
|          Index          |             Word             |          Frequency          |              TF              |          DF          |             IDF              |          Length of vector          |
+-------------------------+------------------------------+-----------------------------+------------------------------+----------------------+------------------------------+------------------------------------+
|            0            |          pineapple           |              1              |             1.0              |          2           |          0.69897000          |             0.21470561             |
|            1            |             rind             |              1              |             1.0              |          2           |          0.69897000          |             0.21470561             |
|            2            |            lemon             |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            3            |             pith             |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            4            |            orange            |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            5            |           blossom            |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            6            |            start             |              1              |             1.0              |          2           |          0.69897000          |             0.21470561             |
|            7            |            aromas            |              1              |             1.0              |          4           |          0.39794000          |             0.21470561             |
|            8            |            palate            |              1              |             1.0              |          3           |          0.52287874          |             0.21470561             |
|            9            |              be              |              2              |          1.30102999          |          7           |          0.15490195          |             0.27933844             |
|            10           |           exhibit            |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            11           |           opulent            |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            12           |             note             |              1              |             1.0              |          2           |          0.69897000          |             0.21470561             |
|            13           |          honeydrizz          |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            14           |            guava             |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            15           |            mango             |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            16           |             give             |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            17           |           slightly           |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            18           |          astringent          |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            19           |           semidry            |              1              |             1.0              |          1           |             1.0              |             0.21470561             |
|            20           |            finish            |              1              |             1.0              |          2           |          0.69897000          |             0.21470561             |
+-------------------------+------------------------------+-----------------------------+------------------------------+----------------------+------------------------------+------------------------------------+



