<< TABLE >>

+-------------------------+------------------------------+-----------------------------+-----------------------+----------------------+------------------------------+------------------------------------+
|          Index          |             Word             |          Frequency          |           TF          |          DF          |             IDF              |          Length of vector          |
+-------------------------+------------------------------+-----------------------------+-----------------------+----------------------+------------------------------+------------------------------------+
|            0            |          blackberry          |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            1            |          raspberry           |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            2            |            aromas            |              1              |          1.0          |          4           |          0.39794000          |             0.19245008             |
|            3            |             show             |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            4            |              be              |              1              |          1.0          |          7           |          0.15490195          |             0.19245008             |
|            5            |           typical            |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            6            |           navarran           |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            7            |            whiff             |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            8            |            green             |              1              |          1.0          |          2           |          0.69897000          |             0.19245008             |
|            9            |            herbs             |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            10           |             case             |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            11           |          horseradis          |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            12           |            mouth             |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            13           |             full             |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            14           |            bodied            |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            15           |           tomatoey           |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            16           |           acidity            |              1              |          1.0          |          7           |          0.15490195          |             0.19245008             |
|            17           |            spicy             |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            18           |            herbal            |              1              |          1.0          |          2           |          0.69897000          |             0.19245008             |
|            19           |           flavors            |              1              |          1.0          |          3           |          0.52287874          |             0.19245008             |
|            20           |          complement          |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            21           |             dark             |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            22           |             plum             |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
|            23           |            fruit             |              1              |          1.0          |          2           |          0.69897000          |             0.19245008             |
|            24           |            finish            |              1              |          1.0          |          2           |          0.69897000          |             0.19245008             |
|            25           |            fresh             |              1              |          1.0          |          4           |          0.39794000          |             0.19245008             |
|            26           |            grabby            |              1              |          1.0          |          1           |             1.0              |             0.19245008             |
+-------------------------+------------------------------+-----------------------------+-----------------------+----------------------+------------------------------+------------------------------------+



